RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,FROM REFERENCE,FROM TYPE,DESCRIPTION,DIRECTION,Notes
171,Mgt_Trend,4122,4122,tcp,dmz_Windows_Instances,Group,dmz_Windows_Instances to connect via 4122 to Mgt_Trend,Traversal,
172,Mgt_Trend,4122,4122,tcp,dmz_RHEL_Instances,Group,dmz_RHEL_Instances to connect via 4122 to Mgt_Trend,Traversal,
173,Mgt_EnterpriseALB-05,443,443,tcp,Mgt_RDGW,Group,Mgt_RDGW to connect via 443 to Mgt_EnterpriseALB-05,Traversal,
174,Mgt_EnterpriseALB-05,443,443,tcp,Mgt_JumpSvr,Group,Mgt_JumpSvr to connect via 443 to Mgt_EnterpriseALB-05,Traversal,
175,Mgt_TenableScanners,443,443,tcp,Mgt_Windows_Instances,Group,Mgt_Windows_Instances to connect via 443 to Mgt_TenableScanners,Traversal,
176,Mgt_TenableScanners,443,443,tcp,Mgt_RHEL_Instances,Group,Mgt_RHEL_Instances to connect via 443 to Mgt_TenableScanners,Traversal,
177,Mgt_TenableScanners,443,443,tcp,AppD_Windows_Instances,Group,AppD_Windows_Instances to connect via 443 to Mgt_TenableScanners,Traversal,
178,Mgt_TenableScanners,443,443,tcp,AppD_RHEL_Instances,Group,AppD_RHEL_Instances to connect via 443 to Mgt_TenableScanners,Traversal,
179,Mgt_TenableScanners,443,443,tcp,dmz_Windows_Instances,Group,dmz_Windows_Instances to connect via 443 to Mgt_TenableScanners,Traversal,
180,Mgt_TenableScanners,443,443,tcp,dmz_RHEL_Instances,Group,dmz_RHEL_Instances to connect via 443 to Mgt_TenableScanners,Traversal,
181,Mgt_TenableScanners,80,80,tcp,Mgt_Windows_Instances,Group,Mgt_Windows_Instances to connect via 80 to Mgt_TenableScanners,Traversal,
182,Mgt_TenableScanners,80,80,tcp,Mgt_RHEL_Instances,Group,Mgt_RHEL_Instances to connect via 80 to Mgt_TenableScanners,Traversal,
